,team1,date,matchday,stadium,result,goals,team2,total_shots,shots_on_target,goals_on_penalty,total_penalties,percentage_possession,fouls,yellow_cards,red_cards,season,completed_passings,total_passings,corners
0,Napoli,2020-09-20,Giornata n. 1,Ospiti,V,2.0,Parma,17.0,6.0,0,0,60.0,12.0,1,0,2020-2021,597.0,689.0,2.0
0,Crotone,2020-09-20,Giornata n. 1,Ospiti,P,1.0,Genoa,13.0,3.0,0,0,51.0,16.0,2,0,2020-2021,465.0,545.0,4.0
0,Genoa,2020-09-20,Giornata n. 1,Casa,V,4.0,Crotone,15.0,6.0,0,0,49.0,13.0,4,0,2020-2021,434.0,518.0,6.0
0,Sassuolo,2020-09-20,Giornata n. 1,Casa,N,1.0,Cagliari,33.0,9.0,0,0,67.0,11.0,1,0,2020-2021,633.0,709.0,7.0
0,Parma,2020-09-20,Giornata n. 1,Casa,P,0.0,Napoli,6.0,2.0,0,0,40.0,17.0,4,0,2020-2021,372.0,450.0,4.0
0,Cagliari,2020-09-20,Giornata n. 1,Ospiti,N,1.0,Sassuolo,8.0,4.0,0,0,33.0,20.0,3,0,2020-2021,283.0,345.0,3.0
0,Juventus,2020-09-20,Giornata n. 1,Casa,V,3.0,Sampdoria,21.0,8.0,0,0,66.0,15.0,1,0,2020-2021,684.0,764.0,6.0
0,Sampdoria,2020-09-20,Giornata n. 1,Ospiti,P,0.0,Juventus,15.0,1.0,0,0,34.0,9.0,1,0,2020-2021,302.0,394.0,4.0
0,Bologna,2020-09-21,Giornata n. 1,Ospiti,P,0.0,Milan,13.0,4.0,0,0,42.0,23.0,5,1,2020-2021,334.0,409.0,4.0
0,Milan,2020-09-21,Giornata n. 1,Casa,V,2.0,Bologna,16.0,4.0,1,1,58.0,18.0,3,0,2020-2021,467.0,560.0,7.0
0,Benevento,2020-09-26,Giornata n. 2,Ospiti,V,3.0,Sampdoria,14.0,5.0,0,0,60.0,14.0,1,0,2020-2021,446.0,552.0,4.0
0,Atalanta,2020-09-26,Giornata n. 2,Ospiti,V,4.0,Torino,17.0,7.0,0,0,55.0,15.0,2,0,2020-2021,486.0,588.0,6.0
1,Sampdoria,2020-09-26,Giornata n. 2,Casa,P,2.0,Benevento,9.0,3.0,0,0,40.0,18.0,3,0,2020-2021,247.0,368.0,6.0
1,Fiorentina,2020-09-26,Giornata n. 2,Ospiti,P,3.0,Inter,10.0,4.0,0,0,34.0,13.0,1,0,2020-2021,276.0,359.0,1.0
1,Torino,2020-09-26,Giornata n. 2,Casa,P,2.0,Atalanta,8.0,4.0,0,0,45.0,15.0,1,0,2020-2021,384.0,483.0,2.0
0,Inter,2020-09-26,Giornata n. 2,Casa,V,4.0,Fiorentina,21.0,7.0,0,0,66.0,15.0,1,0,2020-2021,622.0,709.0,5.0
0,Lazio,2020-09-26,Giornata n. 2,Ospiti,V,2.0,Cagliari,16.0,7.0,0,0,55.0,15.0,1,0,2020-2021,477.0,573.0,6.0
1,Cagliari,2020-09-26,Giornata n. 2,Casa,P,0.0,Lazio,9.0,2.0,0,0,45.0,8.0,1,0,2020-2021,374.0,463.0,3.0
1,Hellas Verona,2020-09-27,Giornata n. 2,Casa,V,1.0,Udinese,11.0,2.0,0,0,48.0,15.0,1,0,2020-2021,312.0,437.0,1.0
1,Juventus,2020-09-27,Giornata n. 2,Ospiti,N,2.0,Roma,7.0,2.0,1,1,60.0,9.0,3,1,2020-2021,576.0,659.0,7.0
0,Spezia,2020-09-27,Giornata n. 2,Casa,P,1.0,Sassuolo,12.0,5.0,0,0,34.0,16.0,2,0,2020-2021,287.0,358.0,3.0
0,Udinese,2020-09-27,Giornata n. 2,Ospiti,P,0.0,Hellas Verona,21.0,4.0,0,0,52.0,14.0,0,0,2020-2021,348.0,476.0,9.0
1,Sassuolo,2020-09-27,Giornata n. 2,Ospiti,V,4.0,Spezia,16.0,5.0,1,1,66.0,8.0,1,0,2020-2021,616.0,695.0,5.0
1,Roma,2020-09-27,Giornata n. 2,Casa,N,2.0,Juventus,10.0,4.0,1,1,40.0,21.0,2,0,2020-2021,363.0,435.0,5.0
1,Milan,2020-09-27,Giornata n. 2,Ospiti,V,2.0,Crotone,14.0,5.0,1,1,53.0,15.0,3,0,2020-2021,432.0,543.0,5.0
1,Napoli,2020-09-27,Giornata n. 2,Casa,V,6.0,Genoa,18.0,10.0,0,0,57.0,9.0,1,0,2020-2021,611.0,669.0,4.0
1,Crotone,2020-09-27,Giornata n. 2,Casa,P,0.0,Milan,6.0,0.0,0,0,47.0,14.0,1,0,2020-2021,374.0,474.0,2.0
1,Genoa,2020-09-27,Giornata n. 2,Ospiti,P,0.0,Napoli,6.0,0.0,0,0,43.0,14.0,2,0,2020-2021,435.0,508.0,2.0
1,Parma,2020-09-28,Giornata n. 2,Ospiti,P,1.0,Bologna,8.0,3.0,0,0,42.0,12.0,2,1,2020-2021,303.0,404.0,9.0
1,Bologna,2020-09-28,Giornata n. 2,Casa,V,4.0,Parma,13.0,8.0,0,0,58.0,14.0,1,0,2020-2021,466.0,560.0,8.0
1,Lazio,2020-09-30,Giornata n. 1,Casa,P,1.0,Atalanta,14.0,5.0,0,0,60.0,15.0,7,0,2020-2021,571.0,688.0,7.0
1,Atalanta,2020-09-30,Giornata n. 1,Ospiti,V,4.0,Lazio,10.0,6.0,0,0,40.0,15.0,2,0,2020-2021,335.0,451.0,3.0
1,Udinese,2020-09-30,Giornata n. 1,Casa,P,0.0,Spezia,15.0,4.0,0,0,48.0,15.0,0,0,2020-2021,404.0,491.0,2.0
1,Benevento,2020-09-30,Giornata n. 1,Casa,P,2.0,Inter,11.0,6.0,0,0,34.0,10.0,1,0,2020-2021,283.0,364.0,5.0
1,Spezia,2020-09-30,Giornata n. 1,Ospiti,V,2.0,Udinese,4.0,2.0,0,0,52.0,17.0,5,1,2020-2021,432.0,526.0,2.0
1,Inter,2020-09-30,Giornata n. 1,Ospiti,V,5.0,Benevento,18.0,8.0,0,0,66.0,17.0,0,0,2020-2021,647.0,715.0,1.0
2,Fiorentina,2020-10-02,Giornata n. 3,Casa,P,1.0,Sampdoria,22.0,5.0,0,0,65.0,12.0,0,0,2020-2021,503.0,610.0,8.0
2,Sampdoria,2020-10-02,Giornata n. 3,Ospiti,V,2.0,Fiorentina,18.0,7.0,1,1,35.0,19.0,3,0,2020-2021,239.0,332.0,4.0
2,Udinese,2020-10-03,Giornata n. 3,Casa,P,0.0,Roma,10.0,4.0,0,0,45.0,16.0,1,0,2020-2021,367.0,475.0,4.0
2,Crotone,2020-10-03,Giornata n. 3,Ospiti,P,1.0,Sassuolo,15.0,4.0,1,1,47.0,17.0,3,0,2020-2021,348.0,448.0,4.0
2,Sassuolo,2020-10-03,Giornata n. 3,Casa,V,4.0,Crotone,6.0,3.0,1,1,53.0,15.0,2,0,2020-2021,420.0,514.0,3.0
2,Roma,2020-10-03,Giornata n. 3,Ospiti,V,1.0,Udinese,14.0,3.0,0,0,55.0,9.0,0,0,2020-2021,493.0,586.0,1.0
2,Bologna,2020-10-04,Giornata n. 3,Ospiti,P,0.0,Benevento,17.0,7.0,0,0,59.0,15.0,1,0,2020-2021,391.0,470.0,10.0
2,Atalanta,2020-10-04,Giornata n. 3,Casa,V,5.0,Cagliari,21.0,12.0,0,0,59.0,12.0,0,0,2020-2021,557.0,645.0,3.0
2,Hellas Verona,2020-10-04,Giornata n. 3,Ospiti,P,0.0,Parma,8.0,2.0,0,0,61.0,21.0,1,0,2020-2021,465.0,568.0,6.0
2,Parma,2020-10-04,Giornata n. 3,Casa,V,1.0,Hellas Verona,11.0,4.0,0,0,39.0,12.0,1,0,2020-2021,277.0,369.0,7.0
2,Lazio,2020-10-04,Giornata n. 3,Casa,N,1.0,Inter,13.0,4.0,0,0,40.0,16.0,3,1,2020-2021,358.0,432.0,7.0
2,Spezia,2020-10-04,Giornata n. 3,Ospiti,P,0.0,Milan,4.0,2.0,0,0,39.0,19.0,2,0,2020-2021,303.0,401.0,6.0
2,Inter,2020-10-04,Giornata n. 3,Ospiti,N,1.0,Lazio,12.0,4.0,0,0,60.0,14.0,4,1,2020-2021,555.0,641.0,8.0
2,Milan,2020-10-04,Giornata n. 3,Casa,V,3.0,Spezia,16.0,5.0,0,0,61.0,15.0,1,0,2020-2021,525.0,617.0,4.0
2,Benevento,2020-10-04,Giornata n. 3,Casa,V,1.0,Bologna,7.0,2.0,0,0,41.0,13.0,2,0,2020-2021,229.0,326.0,4.0
2,Cagliari,2020-10-04,Giornata n. 3,Ospiti,P,2.0,Atalanta,13.0,3.0,0,0,41.0,11.0,0,0,2020-2021,352.0,454.0,9.0
3,Inter,2020-10-17,Giornata n. 4,Casa,P,1.0,Milan,18.0,5.0,0,0,55.0,20.0,3,0,2020-2021,404.0,497.0,3.0
3,Lazio,2020-10-17,Giornata n. 4,Ospiti,P,0.0,Sampdoria,10.0,0.0,0,0,48.0,14.0,2,0,2020-2021,448.0,548.0,3.0
3,Crotone,2020-10-17,Giornata n. 4,Casa,N,1.0,Juventus,9.0,2.0,1,1,46.0,18.0,3,0,2020-2021,401.0,491.0,3.0
3,Atalanta,2020-10-17,Giornata n. 4,Ospiti,P,1.0,Napoli,13.0,4.0,0,0,50.0,24.0,3,0,2020-2021,461.0,533.0,2.0
2,Napoli,2020-10-17,Giornata n. 4,Casa,V,4.0,Atalanta,20.0,13.0,0,0,50.0,12.0,1,0,2020-2021,435.0,525.0,6.0
2,Juventus,2020-10-17,Giornata n. 4,Ospiti,N,1.0,Crotone,10.0,2.0,0,0,54.0,13.0,3,1,2020-2021,483.0,568.0,4.0
3,Milan,2020-10-17,Giornata n. 4,Ospiti,V,2.0,Inter,10.0,3.0,0,1,45.0,14.0,3,0,2020-2021,301.0,400.0,5.0
3,Sampdoria,2020-10-17,Giornata n. 4,Casa,V,3.0,Lazio,12.0,7.0,0,0,52.0,17.0,2,0,2020-2021,464.0,588.0,4.0
3,Benevento,2020-10-18,Giornata n. 4,Ospiti,P,2.0,Roma,9.0,3.0,0,1,48.0,10.0,2,0,2020-2021,370.0,451.0,4.0
3,Bologna,2020-10-18,Giornata n. 4,Casa,P,3.0,Sassuolo,14.0,6.0,0,0,48.0,25.0,2,0,2020-2021,288.0,395.0,7.0
3,Parma,2020-10-18,Giornata n. 4,Ospiti,P,2.0,Udinese,10.0,4.0,0,0,57.0,13.0,2,0,2020-2021,483.0,572.0,2.0
3,Roma,2020-10-18,Giornata n. 4,Casa,V,5.0,Benevento,19.0,6.0,1,1,52.0,18.0,3,0,2020-2021,412.0,497.0,6.0
3,Sassuolo,2020-10-18,Giornata n. 4,Ospiti,V,4.0,Bologna,25.0,13.0,0,0,52.0,16.0,2,0,2020-2021,341.0,425.0,11.0
2,Torino,2020-10-18,Giornata n. 4,Casa,P,2.0,Cagliari,11.0,5.0,1,1,58.0,20.0,2,1,2020-2021,492.0,565.0,2.0
3,Cagliari,2020-10-18,Giornata n. 4,Ospiti,V,3.0,Torino,13.0,6.0,0,0,42.0,23.0,3,0,2020-2021,321.0,403.0,4.0
3,Fiorentina,2020-10-18,Giornata n. 4,Ospiti,N,2.0,Spezia,10.0,3.0,0,0,48.0,18.0,2,0,2020-2021,408.0,482.0,5.0
3,Spezia,2020-10-18,Giornata n. 4,Casa,N,2.0,Fiorentina,13.0,2.0,0,0,52.0,16.0,2,0,2020-2021,432.0,514.0,5.0
3,Udinese,2020-10-18,Giornata n. 4,Casa,V,3.0,Parma,14.0,4.0,0,0,43.0,13.0,3,0,2020-2021,328.0,424.0,11.0
3,Hellas Verona,2020-10-19,Giornata n. 4,Casa,N,0.0,Genoa,18.0,10.0,0,0,59.0,14.0,1,0,2020-2021,447.0,580.0,14.0
2,Genoa,2020-10-19,Giornata n. 4,Ospiti,N,0.0,Hellas Verona,6.0,2.0,0,0,41.0,19.0,4,0,2020-2021,288.0,411.0,2.0
3,Torino,2020-10-23,Giornata n. 5,Ospiti,N,3.0,Sassuolo,17.0,10.0,0,0,29.0,15.0,2,0,2020-2021,231.0,298.0,8.0
4,Sassuolo,2020-10-23,Giornata n. 5,Casa,N,3.0,Torino,16.0,6.0,0,0,71.0,11.0,2,0,2020-2021,671.0,747.0,6.0
3,Genoa,2020-10-24,Giornata n. 5,Casa,P,0.0,Inter,1.0,0.0,0,0,39.0,14.0,1,0,2020-2021,359.0,466.0,1.0
4,Bologna,2020-10-24,Giornata n. 5,Ospiti,P,1.0,Lazio,23.0,6.0,0,0,51.0,16.0,3,0,2020-2021,441.0,524.0,9.0
4,Inter,2020-10-24,Giornata n. 5,Ospiti,V,2.0,Genoa,14.0,4.0,0,0,61.0,20.0,1,0,2020-2021,602.0,721.0,9.0
4,Atalanta,2020-10-24,Giornata n. 5,Casa,P,1.0,Sampdoria,19.0,4.0,1,1,65.0,13.0,3,0,2020-2021,601.0,704.0,3.0
4,Lazio,2020-10-24,Giornata n. 5,Casa,V,2.0,Bologna,10.0,4.0,0,0,49.0,15.0,3,0,2020-2021,389.0,499.0,8.0
4,Sampdoria,2020-10-24,Giornata n. 5,Ospiti,V,3.0,Atalanta,6.0,3.0,0,1,35.0,23.0,4,0,2020-2021,278.0,375.0,1.0
4,Crotone,2020-10-25,Giornata n. 5,Ospiti,P,2.0,Cagliari,12.0,6.0,0,0,56.0,16.0,4,1,2020-2021,485.0,554.0,1.0
4,Fiorentina,2020-10-25,Giornata n. 5,Casa,V,3.0,Udinese,5.0,3.0,0,0,45.0,16.0,1,0,2020-2021,307.0,392.0,2.0
4,Hellas Verona,2020-10-25,Giornata n. 5,Ospiti,N,1.0,Juventus,6.0,2.0,0,0,39.0,21.0,4,0,2020-2021,298.0,406.0,3.0
4,Parma,2020-10-25,Giornata n. 5,Casa,N,2.0,Spezia,16.0,5.0,1,1,48.0,12.0,3,0,2020-2021,356.0,457.0,12.0
4,Udinese,2020-10-25,Giornata n. 5,Ospiti,P,2.0,Fiorentina,16.0,6.0,0,0,55.0,17.0,3,0,2020-2021,383.0,480.0,7.0
4,Cagliari,2020-10-25,Giornata n. 5,Casa,V,4.0,Crotone,19.0,8.0,0,0,44.0,14.0,2,0,2020-2021,362.0,433.0,5.0
4,Benevento,2020-10-25,Giornata n. 5,Casa,P,1.0,Napoli,9.0,3.0,0,0,35.0,18.0,3,0,2020-2021,235.0,332.0,3.0
3,Juventus,2020-10-25,Giornata n. 5,Casa,N,1.0,Hellas Verona,22.0,6.0,0,0,61.0,17.0,1,0,2020-2021,542.0,641.0,6.0
3,Napoli,2020-10-25,Giornata n. 5,Ospiti,V,2.0,Benevento,19.0,5.0,0,0,65.0,13.0,1,0,2020-2021,535.0,622.0,15.0
4,Spezia,2020-10-25,Giornata n. 5,Ospiti,N,2.0,Parma,14.0,6.0,0,0,52.0,22.0,2,0,2020-2021,401.0,493.0,3.0
4,Milan,2020-10-26,Giornata n. 5,Casa,N,3.0,Roma,12.0,7.0,1,1,55.0,16.0,3,0,2020-2021,468.0,556.0,7.0
4,Roma,2020-10-26,Giornata n. 5,Ospiti,N,3.0,Milan,11.0,6.0,1,1,45.0,15.0,2,0,2020-2021,385.0,460.0,7.0
5,Cagliari,2020-10-31,Giornata n. 6,Ospiti,P,2.0,Bologna,7.0,3.0,0,0,49.0,21.0,3,0,2020-2021,333.0,451.0,3.0
5,Crotone,2020-10-31,Giornata n. 6,Casa,P,1.0,Atalanta,5.0,1.0,0,0,42.0,11.0,1,0,2020-2021,374.0,478.0,1.0
5,Parma,2020-10-31,Giornata n. 6,Ospiti,N,2.0,Inter,5.0,3.0,0,0,31.0,9.0,1,0,2020-2021,210.0,309.0,2.0
5,Atalanta,2020-10-31,Giornata n. 6,Ospiti,V,2.0,Crotone,18.0,6.0,0,0,58.0,22.0,3,0,2020-2021,558.0,655.0,3.0
5,Bologna,2020-10-31,Giornata n. 6,Casa,V,3.0,Cagliari,22.0,9.0,0,0,51.0,15.0,3,0,2020-2021,376.0,476.0,7.0
5,Inter,2020-10-31,Giornata n. 6,Casa,N,2.0,Parma,25.0,9.0,0,0,69.0,15.0,1,0,2020-2021,568.0,674.0,15.0
5,Lazio,2020-11-01,Giornata n. 6,Ospiti,V,4.0,Torino,11.0,3.0,1,1,55.0,14.0,4,0,2020-2021,503.0,581.0,1.0
5,Roma,2020-11-01,Giornata n. 6,Casa,V,2.0,Fiorentina,17.0,6.0,0,0,41.0,18.0,3,0,2020-2021,332.0,425.0,7.0
4,Juventus,2020-11-01,Giornata n. 6,Ospiti,V,4.0,Spezia,6.0,3.0,1,1,56.0,8.0,1,0,2020-2021,519.0,598.0,3.0
4,Torino,2020-11-01,Giornata n. 6,Casa,P,3.0,Lazio,10.0,3.0,1,1,45.0,11.0,2,0,2020-2021,411.0,481.0,7.0
5,Spezia,2020-11-01,Giornata n. 6,Casa,P,1.0,Juventus,16.0,3.0,0,0,44.0,17.0,3,0,2020-2021,399.0,473.0,4.0
5,Milan,2020-11-01,Giornata n. 6,Ospiti,V,2.0,Udinese,12.0,4.0,0,0,60.0,15.0,2,0,2020-2021,552.0,641.0,4.0
5,Udinese,2020-11-01,Giornata n. 6,Casa,P,1.0,Milan,8.0,1.0,1,1,40.0,15.0,2,0,2020-2021,339.0,427.0,2.0
4,Genoa,2020-11-01,Giornata n. 6,Ospiti,N,1.0,Sampdoria,11.0,4.0,0,0,46.0,17.0,1,0,2020-2021,370.0,479.0,4.0
4,Napoli,2020-11-01,Giornata n. 6,Casa,P,0.0,Sassuolo,21.0,6.0,0,0,43.0,9.0,2,0,2020-2021,415.0,507.0,12.0
5,Sassuolo,2020-11-01,Giornata n. 6,Ospiti,V,2.0,Napoli,6.0,3.0,1,1,57.0,14.0,2,0,2020-2021,591.0,664.0,3.0
5,Fiorentina,2020-11-01,Giornata n. 6,Ospiti,P,0.0,Roma,8.0,1.0,0,0,59.0,17.0,2,1,2020-2021,508.0,600.0,4.0
5,Sampdoria,2020-11-01,Giornata n. 6,Casa,N,1.0,Genoa,9.0,3.0,0,0,54.0,24.0,5,0,2020-2021,454.0,573.0,7.0
5,Benevento,2020-11-02,Giornata n. 6,Ospiti,P,1.0,Hellas Verona,15.0,5.0,0,0,55.0,18.0,4,1,2020-2021,395.0,512.0,5.0
5,Hellas Verona,2020-11-02,Giornata n. 6,Casa,V,3.0,Benevento,14.0,6.0,0,0,45.0,21.0,5,0,2020-2021,305.0,426.0,4.0
5,Genoa,2020-11-04,Giornata n. 3,Casa,P,1.0,Torino,16.0,2.0,0,0,52.0,10.0,2,0,2020-2021,453.0,560.0,5.0
5,Torino,2020-11-04,Giornata n. 3,Ospiti,V,2.0,Genoa,7.0,1.0,0,0,48.0,20.0,4,0,2020-2021,424.0,518.0,2.0
6,Sassuolo,2020-11-06,Giornata n. 7,Casa,N,0.0,Udinese,4.0,1.0,0,0,62.0,18.0,2,0,2020-2021,539.0,616.0,3.0
6,Udinese,2020-11-06,Giornata n. 7,Ospiti,N,0.0,Sassuolo,2.0,0.0,0,0,38.0,17.0,2,0,2020-2021,296.0,384.0,6.0
6,Spezia,2020-11-07,Giornata n. 7,Ospiti,V,3.0,Benevento,11.0,6.0,0,0,61.0,20.0,3,0,2020-2021,502.0,605.0,4.0
6,Sampdoria,2020-11-07,Giornata n. 7,Ospiti,P,0.0,Cagliari,5.0,1.0,0,0,44.0,16.0,2,1,2020-2021,371.0,469.0,4.0
6,Parma,2020-11-07,Giornata n. 7,Casa,N,0.0,Fiorentina,5.0,0.0,0,0,36.0,30.0,1,0,2020-2021,350.0,425.0,2.0
6,Benevento,2020-11-07,Giornata n. 7,Casa,P,0.0,Spezia,3.0,1.0,0,0,39.0,15.0,3,0,2020-2021,288.0,384.0,2.0
6,Cagliari,2020-11-07,Giornata n. 7,Casa,V,2.0,Sampdoria,12.0,4.0,1,1,56.0,14.0,0,0,2020-2021,496.0,602.0,2.0
6,Fiorentina,2020-11-07,Giornata n. 7,Ospiti,N,0.0,Parma,7.0,4.0,0,0,64.0,18.0,2,0,2020-2021,668.0,745.0,3.0
6,Hellas Verona,2020-11-08,Giornata n. 7,Ospiti,N,2.0,Milan,7.0,2.0,0,0,34.0,23.0,3,0,2020-2021,193.0,294.0,1.0
6,Genoa,2020-11-08,Giornata n. 7,Casa,P,1.0,Roma,7.0,5.0,0,0,50.0,11.0,1,0,2020-2021,460.0,559.0,1.0
6,Bologna,2020-11-08,Giornata n. 7,Casa,P,0.0,Napoli,9.0,3.0,0,0,47.0,12.0,3,0,2020-2021,385.0,487.0,4.0
6,Inter,2020-11-08,Giornata n. 7,Ospiti,N,1.0,Atalanta,10.0,3.0,0,0,48.0,13.0,3,0,2020-2021,452.0,532.0,5.0
6,Crotone,2020-11-08,Giornata n. 7,Ospiti,N,0.0,Torino,8.0,2.0,0,0,50.0,15.0,4,1,2020-2021,401.0,486.0,3.0
5,Juventus,2020-11-08,Giornata n. 7,Ospiti,N,1.0,Lazio,11.0,5.0,0,0,46.0,18.0,2,0,2020-2021,462.0,533.0,2.0
6,Roma,2020-11-08,Giornata n. 7,Ospiti,V,3.0,Genoa,18.0,9.0,0,0,50.0,12.0,0,0,2020-2021,437.0,548.0,8.0
6,Lazio,2020-11-08,Giornata n. 7,Casa,N,1.0,Juventus,14.0,3.0,0,0,54.0,15.0,2,0,2020-2021,536.0,626.0,4.0
6,Milan,2020-11-08,Giornata n. 7,Casa,N,2.0,Hellas Verona,33.0,8.0,0,1,66.0,18.0,1,0,2020-2021,456.0,582.0,14.0
6,Torino,2020-11-08,Giornata n. 7,Casa,N,0.0,Crotone,4.0,0.0,0,0,50.0,15.0,3,0,2020-2021,387.0,481.0,6.0
6,Atalanta,2020-11-08,Giornata n. 7,Casa,N,1.0,Inter,9.0,2.0,0,0,52.0,17.0,1,0,2020-2021,499.0,570.0,2.0
5,Napoli,2020-11-08,Giornata n. 7,Ospiti,V,1.0,Bologna,19.0,4.0,0,0,53.0,12.0,0,0,2020-2021,438.0,539.0,7.0
7,Spezia,2020-11-21,Giornata n. 8,Casa,N,0.0,Atalanta,9.0,2.0,0,0,55.0,22.0,3,0,2020-2021,476.0,613.0,1.0
7,Cagliari,2020-11-21,Giornata n. 8,Ospiti,P,0.0,Juventus,4.0,0.0,0,0,34.0,7.0,2,0,2020-2021,336.0,408.0,1.0
7,Crotone,2020-11-21,Giornata n. 8,Casa,P,0.0,Lazio,13.0,4.0,0,0,52.0,12.0,3,0,2020-2021,369.0,543.0,2.0
7,Atalanta,2020-11-21,Giornata n. 8,Ospiti,N,0.0,Spezia,11.0,4.0,0,0,45.0,19.0,3,0,2020-2021,382.0,502.0,2.0
7,Lazio,2020-11-21,Giornata n. 8,Ospiti,V,2.0,Crotone,15.0,9.0,0,0,48.0,11.0,4,0,2020-2021,331.0,499.0,6.0
6,Juventus,2020-11-21,Giornata n. 8,Casa,V,2.0,Cagliari,24.0,6.0,0,0,66.0,15.0,3,0,2020-2021,711.0,790.0,9.0
7,Roma,2020-11-22,Giornata n. 8,Casa,V,3.0,Parma,20.0,7.0,0,0,58.0,12.0,0,0,2020-2021,667.0,744.0,4.0
7,Benevento,2020-11-22,Giornata n. 8,Ospiti,V,1.0,Fiorentina,13.0,4.0,0,0,38.0,17.0,3,0,2020-2021,263.0,362.0,4.0
7,Milan,2020-11-22,Giornata n. 8,Ospiti,V,3.0,Napoli,15.0,7.0,0,0,38.0,18.0,4,0,2020-2021,308.0,395.0,5.0
7,Udinese,2020-11-22,Giornata n. 8,Casa,V,1.0,Genoa,8.0,2.0,0,0,47.0,18.0,2,0,2020-2021,389.0,473.0,4.0
6,Napoli,2020-11-22,Giornata n. 8,Casa,P,1.0,Milan,19.0,7.0,0,0,62.0,7.0,3,1,2020-2021,559.0,655.0,8.0
7,Inter,2020-11-22,Giornata n. 8,Casa,V,4.0,Torino,12.0,3.0,1,1,56.0,26.0,3,0,2020-2021,495.0,575.0,1.0
7,Sampdoria,2020-11-22,Giornata n. 8,Casa,P,1.0,Bologna,10.0,4.0,0,0,45.0,12.0,2,0,2020-2021,333.0,464.0,9.0
7,Genoa,2020-11-22,Giornata n. 8,Ospiti,P,0.0,Udinese,11.0,1.0,0,0,53.0,15.0,3,1,2020-2021,439.0,544.0,8.0
7,Hellas Verona,2020-11-22,Giornata n. 8,Casa,P,0.0,Sassuolo,19.0,3.0,0,0,52.0,16.0,1,0,2020-2021,349.0,470.0,6.0
7,Sassuolo,2020-11-22,Giornata n. 8,Ospiti,V,2.0,Hellas Verona,11.0,4.0,0,0,48.0,20.0,3,0,2020-2021,329.0,442.0,1.0
7,Parma,2020-11-22,Giornata n. 8,Ospiti,P,0.0,Roma,1.0,1.0,0,0,42.0,6.0,0,0,2020-2021,464.0,539.0,1.0
7,Fiorentina,2020-11-22,Giornata n. 8,Casa,P,0.0,Benevento,7.0,2.0,0,0,62.0,16.0,2,0,2020-2021,483.0,589.0,4.0
7,Torino,2020-11-22,Giornata n. 8,Ospiti,P,2.0,Inter,12.0,5.0,1,1,44.0,19.0,2,0,2020-2021,372.0,457.0,1.0
7,Bologna,2020-11-22,Giornata n. 8,Ospiti,V,2.0,Sampdoria,11.0,3.0,0,0,55.0,9.0,2,0,2020-2021,439.0,559.0,10.0
8,Sassuolo,2020-11-28,Giornata n. 9,Casa,P,0.0,Inter,13.0,3.0,0,0,66.0,15.0,3,0,2020-2021,675.0,748.0,6.0
8,Inter,2020-11-28,Giornata n. 9,Ospiti,V,3.0,Sassuolo,11.0,4.0,0,0,34.0,17.0,1,0,2020-2021,323.0,389.0,2.0
8,Benevento,2020-11-28,Giornata n. 9,Casa,N,1.0,Juventus,8.0,3.0,0,0,37.0,20.0,6,0,2020-2021,300.0,408.0,5.0
8,Atalanta,2020-11-28,Giornata n. 9,Casa,P,0.0,Hellas Verona,19.0,5.0,0,0,58.0,14.0,2,0,2020-2021,498.0,626.0,4.0
7,Juventus,2020-11-28,Giornata n. 9,Ospiti,N,1.0,Benevento,16.0,5.0,0,0,63.0,14.0,1,1,2020-2021,596.0,687.0,8.0
8,Hellas Verona,2020-11-28,Giornata n. 9,Ospiti,V,2.0,Atalanta,6.0,1.0,1,1,42.0,20.0,3,0,2020-2021,338.0,452.0,1.0
8,Fiorentina,2020-11-29,Giornata n. 9,Ospiti,P,0.0,Milan,5.0,2.0,0,0,55.0,17.0,4,0,2020-2021,440.0,554.0,6.0
8,Bologna,2020-11-29,Giornata n. 9,Casa,V,1.0,Crotone,14.0,7.0,0,0,51.0,17.0,2,0,2020-2021,350.0,470.0,10.0
8,Spezia,2020-11-29,Giornata n. 9,Ospiti,N,2.0,Cagliari,14.0,4.0,1,1,60.0,19.0,4,0,2020-2021,465.0,570.0,5.0
8,Cagliari,2020-11-29,Giornata n. 9,Casa,N,2.0,Spezia,12.0,5.0,0,0,40.0,16.0,0,0,2020-2021,272.0,382.0,4.0
7,Napoli,2020-11-29,Giornata n. 9,Casa,V,4.0,Roma,14.0,8.0,0,0,55.0,3.0,1,0,2020-2021,495.0,585.0,11.0
8,Milan,2020-11-29,Giornata n. 9,Casa,V,2.0,Fiorentina,15.0,2.0,1,2,45.0,17.0,2,0,2020-2021,352.0,457.0,3.0
8,Lazio,2020-11-29,Giornata n. 9,Casa,P,1.0,Udinese,10.0,5.0,1,1,55.0,18.0,3,0,2020-2021,497.0,587.0,4.0
8,Roma,2020-11-29,Giornata n. 9,Ospiti,P,0.0,Napoli,8.0,1.0,0,0,45.0,12.0,2,0,2020-2021,401.0,478.0,4.0
8,Udinese,2020-11-29,Giornata n. 9,Ospiti,V,3.0,Lazio,9.0,4.0,0,0,45.0,12.0,4,0,2020-2021,398.0,485.0,4.0
8,Crotone,2020-11-29,Giornata n. 9,Ospiti,P,0.0,Bologna,8.0,1.0,0,0,49.0,18.0,4,0,2020-2021,336.0,444.0,3.0
